Runny nose,cough,sore throat,fever,bodyache,Fatigue,abdominal pain,diarrhea,nausea/vomit,head pain,light sensitivity,itch,skin rash,blood pressure,difficulty in breathing,difficulty in sleeping,Disease,REMEDY
3,3,-1,2,-1,2,-1,-1,-1,2,-1,-1,-1,-1,2,1,Sinusitis,"Use saline nasal sprays or rinses to clear nasal passages, apply warm compresses to the face, take over-the-counter decongestants or antihistamines, consider nasal corticosteroids for severe symptoms, stay hydrated, get plenty of rest."
-1,3,-1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,Bronchitis,"Get plenty of rest, stay hydrated, use a humidifier to moisten the air, avoid smoke and other irritants, take over-the-counter medications for cough and fever (if recommended by a doctor), use prescribed medications such as bronchodilators and steroids as directed, seek medical help if symptoms worsen or persist."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,Insomnia,"Establish a regular sleep schedule, create a relaxing bedtime routine, limit caffeine and alcohol intake, avoid electronic screens before bedtime, ensure a comfortable sleep environment, consider relaxation techniques or therapy (cognitive behavioral therapy for insomnia), consult a doctor for further evaluation and treatment."
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,Anxiety,"Practice relaxation techniques such as deep breathing or meditation, engage in regular physical activity, maintain a healthy diet, get enough sleep, limit caffeine and alcohol intake, seek support from friends, family, or a therapist, consider medications (antidepressants, anti-anxiety drugs) if recommended by a doctor."
-1,-1,-1,1,-1,2,-1,-1,-1,2,-1,-1,-1,1,-1,-1,dehydration,"Drink plenty of fluids, especially water and electrolyte solutions, avoid caffeine and alcohol, eat small amounts of bland foods (if tolerated), suck on ice chips or popsicles, rest in a cool place, seek medical help if symptoms worsen or if there are signs of severe dehydration (dizziness, confusion, rapid heartbeat)."
-1,-1,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,-1,2,-1,Anemia,"Eat a diet rich in iron, vitamin B12, and folate, take iron supplements as recommended by a doctor, include foods such as red meat, poultry, fish, leafy greens, and fortified cereals, consider intravenous iron therapy or blood transfusions for severe cases, treat underlying conditions contributing to anemia (e.g., gastrointestinal bleeding, menstrual disorders)."
3,-1,1,-1,-1,-1,-1,-1,-1,2,-1,2,1,-1,1,-1,Allergic Rhinitis (Hay Fever),"Avoid allergens, use over-the-counter antihistamines, nasal corticosteroids, and decongestants, consider allergy shots (immunotherapy) for long-term management, use air purifiers and allergen-proof bedding, keep windows closed during high pollen seasons, consult an allergist for personalized treatment options."
-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,Chronic Fatigue Syndrome,"Pace yourself and avoid overexertion, establish a regular sleep schedule, practice stress-reduction techniques, engage in gentle exercise, eat a balanced diet, consider cognitive behavioral therapy (CBT) or graded exercise therapy (GET), consult a doctor for symptom management and support."
-1,2,2,3,3,3,-1,-1,-1,3,-1,-1,-1,3,3,-1,COVID-19,"Isolate yourself from others, rest and stay hydrated, monitor symptoms, seek medical help if symptoms worsen (difficulty breathing, persistent chest pain, confusion), follow public health guidelines for quarantine and testing, get vaccinated (if eligible) and encourage others to do the same."
-1,-1,-1,1,-1,-1,2,3,3,2,-1,-1,-1,-1,-1,-1,Stomach flu,"Stay hydrated by drinking clear fluids, eat bland foods like bananas, rice, applesauce, and toast (BRAT diet), get plenty of rest, avoid dairy, caffeine, and alcohol, practice good hygiene to prevent the spread of infection, seek medical help if symptoms worsen or persist."
-1,3,-1,3,3,3,-1,-1,-1,-1,-1,-1,-1,2,3,2,tuberculosis,"Take prescribed antibiotics for the full course of treatment, follow a healthy diet, get plenty of rest, avoid close contact with others until no longer contagious, follow up with a doctor for monitoring and further treatment, encourage vaccination and proper infection control measures in the community."
1,1,3,1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,pharyngitis ,"Get plenty of rest, drink warm liquids like tea or broth, gargle with warm salt water, suck on throat lozenges or hard candies, use over-the-counter pain relievers for fever and sore throat, avoid smoking and irritants, seek medical help if symptoms worsen or persist."
-1,-1,-1,3,-1,3,3,-1,3,-1,-1,3,-1,-1,-1,-1,Hepatitis ,"Get plenty of rest, eat a healthy diet, avoid alcohol and medications that can affect the liver, consider antiviral medications (for hepatitis B and C), practice safe sex and avoid sharing needles to prevent transmission, follow up with a doctor for monitoring and further treatment."
-1,-1,-1,3,-1,3,-1,-1,-1,-1,-1,2,3,-1,-1,-1,SLE,"Protect skin from sun exposure, take prescribed medications (such as corticosteroids, immunosuppressants), get regular check-ups, manage stress, avoid smoking, maintain a healthy diet, stay physically active, join support groups, follow up with specialists (rheumatologists, nephrologists, dermatologists) for comprehensive care and management."
2,3,2,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Respiratory Syncytial Virus,"Stay hydrated, rest, use over-the-counter medications for fever and discomfort (if recommended by a doctor), use a humidifier to moisten the air, avoid exposure to tobacco smoke and other irritants, seek medical help if symptoms worsen or if there are signs of severe illness (difficulty breathing, bluish lips or nails)."
-1,-1,3,3,3,3,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,Meningitis,"Seek emergency medical help immediately, as meningitis can be life-threatening, rest and stay hydrated, take prescribed antibiotics (for bacterial meningitis), manage fever with over-the-counter medications, avoid close contact with others until no longer contagious, monitor for complications and follow up with a doctor for further treatment and support."
3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Measles,"Rest, stay hydrated, use over-the-counter medications for fever and discomfort (if recommended by a doctor), avoid scratching skin lesions to prevent infection, avoid close contact with others until no longer contagious, encourage vaccination and proper infection control measures in the community."
-1,-1,-1,3,-1,3,3,-1,3,-1,-1,-1,-1,2,-1,1,Diabetes,"Follow a healthy diet, exercise regularly, monitor blood sugar levels, take prescribed medications (insulin or oral medications), manage stress, avoid smoking and alcohol, get regular check-ups and screenings, seek medical help for complications or changes in symptoms."
-1,-1,-1,-1,-1,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,Arthritis,"Exercise regularly (including stretching and strength training), maintain a healthy weight, use hot or cold therapy, consider physical or occupational therapy, use assistive devices (splints, canes, braces), take prescribed medications (analgesics, NSAIDs, DMARDs), consider injections or surgery for severe cases, join support groups."
-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Osteoporosis,"Get plenty of calcium and vitamin D, exercise regularly (weight-bearing and muscle-strengthening exercises), avoid smoking and excessive alcohol consumption, take prescribed medications (bisphosphonates, hormone therapy, denosumab), ensure a safe home environment to prevent falls, get regular bone density tests and follow up with a doctor for monitoring and treatment adjustments."
-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kidney Stones,"Drink plenty of water to stay hydrated and help flush out stones, take over-the-counter pain relievers for pain (if recommended by a doctor), consider prescription medications (alpha blockers, calcium channel blockers) to help pass stones, follow a low-salt diet, avoid foods high in oxalate, limit animal protein and sodium intake, seek medical help for severe symptoms or complications."
-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,Menopause,"Practice stress reduction techniques, get regular exercise, eat a balanced diet rich in calcium and vitamin D, consider hormone replacement therapy (HRT) or other medications for severe symptoms, use vaginal lubricants or moisturizers for vaginal dryness, seek support from healthcare providers, friends, or support groups."
-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,Pneumothorax,"Seek emergency medical help immediately, as pneumothorax can be life-threatening, rest and avoid physical exertion, avoid smoking and exposure to secondhand smoke, follow up with a doctor for further evaluation and treatment (may include observation, chest tube insertion, or surgery)."
-1,-1,-1,1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,Glaucoma,"Use prescribed eye drops to lower intraocular pressure, take oral medications (if recommended by a doctor), undergo laser therapy or surgery (for advanced cases), get regular eye exams, follow up with an ophthalmologist for monitoring and treatment adjustments."
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,Stye,"Apply warm compresses to the affected eye, gently clean the eyelid with a mild soap or baby shampoo, avoid squeezing or rubbing the stye, avoid wearing contact lenses or eye makeup until the stye heals, seek medical help if the stye worsens or persists."
1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Common Cold,"Rest, drink fluids, and take over-the-counter cold medications."
3,3,3,2,1,1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,Influenza,"Rest, drink fluids, and take antiviral medications if prescribed by a doctor."
-1,-1,-1,-1,-1,2,3,3,3,-1,-1,-1,-1,-1,-1,-1,Gastrointestinal Disorders,"Avoid spicy and greasy foods, eat bland foods like bananas, rice, applesauce, and toast (BRAT diet), drink plenty of fluids, consider over-the-counter medications for diarrhea and nausea (consult a doctor for severe symptoms)."
-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,3,headache,"Take over-the-counter pain relievers like acetaminophen or ibuprofen, apply a cold compress to the forehead, rest in a quiet, dark room, practice relaxation techniques such as deep breathing or meditation."
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,3,-1,Allergies,"Avoid allergens, take antihistamines, use nasal sprays as recommended, consider allergy shots (immunotherapy) for severe allergies."
-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,Asthma,"Use inhalers as prescribed (rescue inhalers for acute symptoms and controller inhalers for long-term management), avoid triggers such as smoke, dust, and pollen, seek medical help during asthma attacks."
-1,-1,-1,3,-1,-1,3,3,2,-1,-1,-1,-1,-1,-1,-1,Food Poisoning,"Stay hydrated by drinking clear fluids, avoid solid foods until vomiting and diarrhea have stopped, gradually reintroduce bland foods, avoid dairy, caffeine, alcohol, and fatty foods, consult a doctor if symptoms worsen or persist."
-1,-1,-1,-1,-1,1,-1,-1,2,3,2,-1,-1,-1,-1,1,Migraine,"Rest in a quiet, dark room, apply a cold or warm compress to the head or neck, take over-the-counter pain relievers like acetaminophen or ibuprofen, consider prescription medications (triptans, ergots) if recommended by a doctor, identify and avoid migraine triggers."
-1,-1,-1,-1,-1,1,-1,-1,3,2,1,-1,-1,3,1,-1,Hypertension,"Follow a healthy diet (DASH diet), exercise regularly, maintain a healthy weight, limit alcohol consumption, quit smoking, reduce stress, take prescribed medications as directed by a doctor."
3,3,-1,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,Pneumonia,"Take prescribed antibiotics as directed by a doctor, get plenty of rest, stay hydrated, use over-the-counter medications for fever and pain (if recommended by a doctor), follow up with a doctor for monitoring and further treatment."
-1,-1,3,2,2,3,-1,-1,2,3,-1,2,3,-1,-1,-1,Chickenpox,"Get plenty of rest, keep skin clean and dry, use calamine lotion or antihistamines to relieve itching, take over-the-counter pain relievers for fever and discomfort, avoid scratching blisters to prevent infection, consult a doctor if symptoms worsen or new symptoms develop."
3,2,-1,2,-1,2,-1,-1,-1,3,-1,-1,-1,-1,3,2,Sinusitis,"Use saline nasal sprays or rinses to clear nasal passages, apply warm compresses to the face, take over-the-counter decongestants or antihistamines, consider nasal corticosteroids for severe symptoms, stay hydrated, get plenty of rest."
-1,2,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,Bronchitis,"Get plenty of rest, stay hydrated, use a humidifier to moisten the air, avoid smoke and other irritants, take over-the-counter medications for cough and fever (if recommended by a doctor), use prescribed medications such as bronchodilators and steroids as directed, seek medical help if symptoms worsen or persist."
-1,-1,-1,1,-1,3,-1,-1,-1,3,-1,-1,-1,1,-1,-1,dehydration,"Drink plenty of fluids, especially water and electrolyte solutions, avoid caffeine and alcohol, eat small amounts of bland foods (if tolerated), suck on ice chips or popsicles, rest in a cool place, seek medical help if symptoms worsen or if there are signs of severe dehydration (dizziness, confusion, rapid heartbeat)."
-1,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,-1,-1,3,-1,Anemia,"Eat a diet rich in iron, vitamin B12, and folate, take iron supplements as recommended by a doctor, include foods such as red meat, poultry, fish, leafy greens, and fortified cereals, consider intravenous iron therapy or blood transfusions for severe cases, treat underlying conditions contributing to anemia (e.g., gastrointestinal bleeding, menstrual disorders)."
3,2,2,-1,-1,-1,-1,-1,1,2,-1,2,1,-1,1,-1,Allergic Rhinitis (Hay Fever),"Avoid allergens, use over-the-counter antihistamines, nasal corticosteroids, and decongestants, consider allergy shots (immunotherapy) for long-term management, use air purifiers and allergen-proof bedding, keep windows closed during high pollen seasons, consult an allergist for personalized treatment options."
-1,3,3,3,3,3,-1,-1,-1,3,-1,-1,-1,3,3,-1,COVID-19,"Isolate yourself from others, rest and stay hydrated, monitor symptoms, seek medical help if symptoms worsen (difficulty breathing, persistent chest pain, confusion), follow public health guidelines for quarantine and testing, get vaccinated (if eligible) and encourage others to do the same."
-1,-1,-1,1,-1,-1,3,2,2,3,-1,-1,-1,-1,-1,1,Stomach flu,"Stay hydrated by drinking clear fluids, eat bland foods like bananas, rice, applesauce, and toast (BRAT diet), get plenty of rest, avoid dairy, caffeine, and alcohol, practice good hygiene to prevent the spread of infection, seek medical help if symptoms worsen or persist."
-1,2,-1,2,3,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,tuberculosis,"Take prescribed antibiotics for the full course of treatment, follow a healthy diet, get plenty of rest, avoid close contact with others until no longer contagious, follow up with a doctor for monitoring and further treatment, encourage vaccination and proper infection control measures in the community."
1,1,2,1,-1,3,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,pharyngitis ,"Get plenty of rest, drink warm liquids like tea or broth, gargle with warm salt water, suck on throat lozenges or hard candies, use over-the-counter pain relievers for fever and sore throat, avoid smoking and irritants, seek medical help if symptoms worsen or persist."
-1,-1,-1,2,-1,3,3,-1,3,-1,-1,2,-1,-1,-1,-1,Hepatitis ,"Get plenty of rest, eat a healthy diet, avoid alcohol and medications that can affect the liver, consider antiviral medications (for hepatitis B and C), practice safe sex and avoid sharing needles to prevent transmission, follow up with a doctor for monitoring and further treatment."
-1,-1,-1,3,-1,3,-1,-1,-1,-1,-1,3,3,-1,-1,-1,SLE,"Protect skin from sun exposure, take prescribed medications (such as corticosteroids, immunosuppressants), get regular check-ups, manage stress, avoid smoking, maintain a healthy diet, stay physically active, join support groups, follow up with specialists (rheumatologists, nephrologists, dermatologists) for comprehensive care and management."
3,2,3,2,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Respiratory Syncytial Virus,"Stay hydrated, rest, use over-the-counter medications for fever and discomfort (if recommended by a doctor), use a humidifier to moisten the air, avoid exposure to tobacco smoke and other irritants, seek medical help if symptoms worsen or if there are signs of severe illness (difficulty breathing, bluish lips or nails)."
-1,-1,2,3,3,3,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,Meningitis,"Seek emergency medical help immediately, as meningitis can be life-threatening, rest and stay hydrated, take prescribed antibiotics (for bacterial meningitis), manage fever with over-the-counter medications, avoid close contact with others until no longer contagious, monitor for complications and follow up with a doctor for further treatment and support."
-1,-1,-1,2,-1,3,3,-1,3,-1,-1,-1,-1,3,-1,1,Diabetes,"Follow a healthy diet, exercise regularly, monitor blood sugar levels, take prescribed medications (insulin or oral medications), manage stress, avoid smoking and alcohol, get regular check-ups and screenings, seek medical help for complications or changes in symptoms."
-1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,Arthritis,"Exercise regularly (including stretching and strength training), maintain a healthy weight, use hot or cold therapy, consider physical or occupational therapy, use assistive devices (splints, canes, braces), take prescribed medications (analgesics, NSAIDs, DMARDs), consider injections or surgery for severe cases, join support groups."
-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Osteoporosis,"Get plenty of calcium and vitamin D, exercise regularly (weight-bearing and muscle-strengthening exercises), avoid smoking and excessive alcohol consumption, take prescribed medications (bisphosphonates, hormone therapy, denosumab), ensure a safe home environment to prevent falls, get regular bone density tests and follow up with a doctor for monitoring and treatment adjustments."
-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kidney Stones,"Drink plenty of water to stay hydrated and help flush out stones, take over-the-counter pain relievers for pain (if recommended by a doctor), consider prescription medications (alpha blockers, calcium channel blockers) to help pass stones, follow a low-salt diet, avoid foods high in oxalate, limit animal protein and sodium intake, seek medical help for severe symptoms or complications."
-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,Menopause,"Practice stress reduction techniques, get regular exercise, eat a balanced diet rich in calcium and vitamin D, consider hormone replacement therapy (HRT) or other medications for severe symptoms, use vaginal lubricants or moisturizers for vaginal dryness, seek support from healthcare providers, friends, or support groups."
-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,Pneumothorax,"Seek emergency medical help immediately, as pneumothorax can be life-threatening, rest and avoid physical exertion, avoid smoking and exposure to secondhand smoke, follow up with a doctor for further evaluation and treatment (may include observation, chest tube insertion, or surgery)."
